timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1696433367785,292,HTTP Request,200,OK,Thread Group 1-41,text,true,,15435,151,40,40,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,292,0,1
1696433368001,77,HTTP Request,200,OK,Thread Group 1-32,text,true,,15435,151,40,40,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,77,0,0
1696433367972,117,HTTP Request,200,OK,Thread Group 1-29,text,true,,15435,151,41,41,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,116,0,0
1696433367924,225,HTTP Request,200,OK,Thread Group 1-55,text,true,,15435,151,46,46,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,224,0,0
1696433368074,85,HTTP Request,200,OK,Thread Group 1-36,text,true,,15435,151,46,46,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,84,0,0
1696433368078,82,HTTP Request,200,OK,Thread Group 1-33,text,true,,15435,151,45,45,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,81,0,0
1696433368078,84,HTTP Request,200,OK,Thread Group 1-41,text,true,,15435,151,44,44,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,83,0,0
1696433368076,89,HTTP Request,200,OK,Thread Group 1-35,text,true,,15435,151,44,44,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,87,0,0
1696433368077,119,HTTP Request,200,OK,Thread Group 1-46,text,true,,15435,151,46,46,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,119,0,0
1696433368149,67,HTTP Request,200,OK,Thread Group 1-55,text,true,,15435,151,47,47,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,67,0,0
1696433367954,283,HTTP Request,200,OK,Thread Group 1-58,text,true,,15435,151,48,48,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,283,0,0
1696433368043,239,HTTP Request,200,OK,Thread Group 1-67,text,true,,15435,151,52,52,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,230,0,1
1696433368238,91,HTTP Request,200,OK,Thread Group 1-58,text,true,,15435,151,57,57,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,91,0,0
1696433368283,61,HTTP Request,200,OK,Thread Group 1-67,text,true,,15435,151,58,58,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,61,0,0
1696433368125,224,HTTP Request,200,OK,Thread Group 1-75,text,true,,15435,151,57,57,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,223,0,0
1696433368350,64,HTTP Request,200,OK,Thread Group 1-75,text,true,,15435,151,60,60,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,63,0,0
1696433368190,247,HTTP Request,200,OK,Thread Group 1-82,text,true,,15435,151,59,59,https://frontend-lacrei-pessoa-usuaria.vercel.app/cadastro,244,0,1
